[2026-06-18 05:16:46,548s] [20d] [roots] - Initiate the data ingestions
[2026-06-18 05:16:50,191s] [20d] [roots] - Preformed train test split on the dataframes
[2026-06-18 05:16:50,191s] [20d] [roots] - Exited split_data_as_train_test method of DataIngestion classs
[2026-06-18 05:16:50,192s] [20d] [roots] - Exporting train and test file path...s
[2026-06-18 05:16:50,222s] [20d] [roots] - Train and test file path exporteds
[2026-06-18 05:16:50,222s] [20d] [roots] - Data Initiation completeds
[2026-06-18 05:16:50,224s] [20d] [roots] - Initiate the data validations
[2026-06-18 05:16:50,237s] [20d] [roots] - Required number of columns: 2s
[2026-06-18 05:16:50,237s] [20d] [roots] - Data frame as columns: 31s
[2026-06-18 05:16:50,237s] [20d] [roots] - Required number of columns: 2s
[2026-06-18 05:16:50,237s] [20d] [roots] - Data frame as columns: 31s
[2026-06-18 05:16:50,314s] [20d] [roots] - Data Validation completeds
